sign	obj_n	bmi_n	len_pur_n	add1	gender	pur1	loss4	loss7	PG01
T	0.160000 	0.333333 	0.785714 	0	1	0	0	1	1
T	0.160000 	0.500000 	0.051020 	1	1	0	0	1	1
T	0.040000 	0.541667 	0.142857 	0	1	0	0	0	1
T	0.260000 	0.416667 	0.285714 	0	1	0	0	0	1
T	0.140000 	0.625000 	0.612245 	0	1	0	0	1	1
T	0.040000 	0.250000 	0.091837 	0	1	0	0	1	1
T	0.160000 	0.416667 	0.438776 	0	1	0	0	0	1
T	0.060000 	0.291667 	0.897959 	0	1	0	1	1	1
T	0.200000 	0.375000 	0.714286 	0	1	0	0	1	1
T	0.080000 	0.666667 	0.040816 	0	1	0	0	0	1
T	0.080000 	0.375000 	0.030612 	0	1	0	0	0	1
T	0.140000 	0.416667 	0.540816 	0	1	1	0	1	1
T	0.160000 	0.541667 	0.602041 	0	1	0	0	1	1
T	0.080000 	0.291667 	0.132653 	0	1	0	0	0	1
T	0.060000 	0.291667 	0.183673 	1	1	0	0	0	1
T	0.020000 	0.333333 	0.387755 	0	1	0	0	0	1
T	0.140000 	0.250000 	0.193878 	0	1	1	0	1	1
T	0.080000 	0.291667 	0.224490 	0	1	0	0	0	1
T	0.060000 	0.416667 	0.214286 	1	1	0	0	1	1
T	0.020000 	0.333333 	0.387755 	0	1	0	0	0	1
T	0.080000 	0.291667 	0.183673 	0	1	0	0	0	1
T	0.100000 	0.333333 	0.755102 	0	1	1	1	1	1
T	0.080000 	0.291667 	0.051020 	1	1	1	0	0	1
T	0.100000 	0.291667 	0.051020 	1	1	1	0	1	1
T	0.200000 	0.416667 	0.387755 	0	1	0	0	0	1
T	0.060000 	0.416667 	0.214286 	0	1	0	0	0	1
T	0.020000 	0.416667 	0.387755 	0	1	0	0	0	1
T	0.080000 	0.333333 	0.632653 	0	1	0	0	1	1
T	0.020000 	0.416667 	0.387755 	0	1	0	0	0	1
T	0.080000 	0.375000 	0.173469 	0	1	0	1	1	1
T	0.040000 	0.291667 	0.163265 	0	1	0	0	1	1
T	0.020000 	0.416667 	0.173469 	0	1	0	0	1	1
T	0.020000 	0.375000 	0.173469 	0	1	0	0	1	1
T	0.560000 	0.458333 	0.938776 	0	1	0	0	1	1
T	0.080000 	0.333333 	0.010204 	0	1	0	0	0	1
T	0.080000 	0.375000 	0.081633 	0	1	0	0	1	1
T	0.080000 	0.375000 	0.367347 	0	1	1	0	0	1
T	0.020000 	0.375000 	0.285714 	0	1	0	0	0	1
T	0.080000 	0.208333 	0.938776 	0	1	0	0	0	1
T	0.120000 	0.291667 	0.448980 	0	1	0	0	0	1
T	0.100000 	0.291667 	0.193878 	0	1	0	1	1	1
T	0.080000 	0.250000 	0.255102 	0	1	0	0	1	1
T	0.140000 	0.375000 	0.214286 	0	1	0	0	1	1
T	0.080000 	0.375000 	0.224490 	1	1	0	1	1	1
T	0.340000 	0.500000 	0.622449 	0	1	0	0	1	1
T	0.080000 	0.541667 	0.091837 	0	1	0	1	1	1
T	0.080000 	0.291667 	0.142857 	0	1	0	0	1	1
T	0.080000 	0.375000 	0.653061 	0	1	0	0	1	1
T	0.060000 	0.375000 	0.000000 	0	1	0	0	0	1
T	0.080000 	0.333333 	0.051020 	0	1	0	1	0	1
T	0.080000 	0.500000 	0.285714 	0	1	1	0	0	1
T	0.160000 	0.375000 	0.000000 	1	1	0	0	1	1
T	0.160000 	0.458333 	0.755102 	0	1	0	0	1	1
T	0.060000 	0.208333 	0.071429 	0	1	0	0	1	1
T	0.080000 	0.375000 	0.724490 	0	1	0	0	0	1
T	0.080000 	0.250000 	0.224490 	0	1	0	0	1	1
T	0.000000 	0.375000 	0.204082 	0	1	0	0	1	1
T	0.080000 	0.333333 	0.040816 	1	1	0	0	0	1
T	0.080000 	0.500000 	0.581633 	0	1	0	1	1	1
T	0.080000 	0.708333 	0.091837 	0	1	0	1	1	1
T	0.060000 	0.250000 	0.285714 	0	1	1	0	0	1
T	0.200000 	0.250000 	0.632653 	0	1	0	0	1	1
T	0.200000 	0.458333 	0.336735 	0	0	0	0	1	1
T	0.020000 	0.750000 	0.193878 	0	1	0	0	1	1
T	0.080000 	0.333333 	0.000000 	0	1	1	1	1	1
T	0.060000 	0.416667 	0.000000 	0	1	0	0	1	1
T	0.040000 	0.291667 	0.183673 	0	1	0	0	0	1
T	0.080000 	0.541667 	0.122449 	0	1	0	0	0	1
T	0.080000 	0.291667 	0.326531 	0	1	0	0	1	1
T	0.600000 	0.500000 	0.989796 	0	1	0	1	1	1
T	0.120000 	0.375000 	0.602041 	0	1	1	1	1	1
T	0.120000 	0.500000 	0.336735 	0	1	0	1	1	1
T	0.100000 	0.375000 	0.214286 	0	1	0	0	0	1
T	0.040000 	0.500000 	0.051020 	0	0	0	0	0	1
T	0.060000 	0.458333 	0.234694 	0	1	0	0	0	1
T	0.080000 	0.458333 	0.153061 	0	1	0	0	0	1
T	0.100000 	0.333333 	0.397959 	0	1	0	0	0	1
T	0.100000 	0.250000 	0.479592 	0	1	0	0	0	1
T	0.060000 	0.125000 	0.285714 	0	1	0	1	0	0
T	0.080000 	0.208333 	0.285714 	1	1	0	0	0	0
T	0.080000 	0.375000 	0.346939 	0	1	0	1	0	0
T	0.100000 	0.291667 	0.142857 	0	0	0	1	0	0
T	0.180000 	0.291667 	0.489796 	0	1	0	0	0	0
T	0.180000 	0.250000 	0.091837 	0	1	0	0	1	0
T	0.800000 	0.833333 	0.377551 	0	1	1	1	1	0
T	0.040000 	0.333333 	0.295918 	0	1	1	1	1	0
T	0.100000 	0.208333 	0.346939 	1	1	0	1	1	0
T	0.080000 	0.416667 	0.836735 	0	1	0	1	0	0
T	0.120000 	0.208333 	0.316327 	0	1	0	1	1	0
T	0.080000 	0.125000 	0.642857 	0	1	0	1	0	0
T	0.080000 	0.416667 	0.897959 	0	1	0	1	1	0
T	0.060000 	0.125000 	0.040816 	0	1	0	0	0	0
T	0.320000 	0.333333 	0.000000 	0	1	0	1	1	0
T	0.080000 	0.333333 	0.316327 	0	1	0	0	0	0
T	0.260000 	0.416667 	0.959184 	0	1	0	0	1	0
T	0.220000 	0.291667 	0.061224 	0	1	0	1	0	0
T	0.120000 	0.500000 	0.765306 	1	1	0	1	1	0
T	0.600000 	0.625000 	0.367347 	0	1	0	1	1	0
T	0.080000 	0.416667 	0.591837 	1	1	0	1	1	0
T	0.080000 	0.166667 	0.234694 	0	1	0	1	0	0
T	0.040000 	0.208333 	0.714286 	0	1	0	1	1	0
T	0.060000 	0.166667 	0.163265 	0	1	1	0	0	0
T	0.220000 	0.375000 	0.275510 	0	1	1	1	0	0
T	0.140000 	0.291667 	0.214286 	1	1	0	1	1	0
T	0.200000 	0.333333 	0.224490 	0	1	0	0	1	0
T	0.020000 	0.250000 	0.969388 	0	1	0	0	0	0
T	0.120000 	0.250000 	0.193878 	1	1	0	1	0	0
T	0.180000 	0.250000 	0.357143 	0	1	0	0	1	0
T	0.040000 	0.291667 	0.938776 	0	1	0	1	1	0
T	0.140000 	0.125000 	0.040816 	0	1	0	1	1	0
T	0.040000 	0.125000 	0.040816 	1	1	0	1	1	0
T	0.180000 	0.291667 	0.938776 	0	1	0	0	0	0
T	0.080000 	0.541667 	0.489796 	1	1	0	0	0	0
T	0.460000 	0.625000 	0.295918 	1	1	0	1	1	0
T	0.100000 	0.291667 	0.418367 	0	1	0	0	1	0
T	0.360000 	0.416667 	0.142857 	0	1	0	1	1	0
T	0.080000 	0.416667 	0.306122 	0	1	0	0	0	0
T	0.160000 	0.291667 	0.775510 	0	1	0	1	1	0
T	0.080000 	0.208333 	0.887755 	0	1	0	0	1	0
T	0.060000 	0.208333 	0.102041 	0	1	0	1	1	0
T	0.060000 	0.250000 	0.948980 	0	1	0	0	0	0
T	0.060000 	0.250000 	0.959184 	0	1	0	1	0	0
T	0.220000 	0.333333 	0.122449 	0	1	0	0	1	0
T	0.260000 	0.375000 	0.102041 	1	1	0	0	0	0
T	0.100000 	0.208333 	0.173469 	0	1	0	1	0	0
T	0.080000 	0.333333 	0.265306 	1	1	0	1	1	0
T	0.100000 	0.166667 	0.683673 	1	1	0	0	0	0
T	0.160000 	0.250000 	0.571429 	1	1	0	0	0	0
T	0.100000 	0.250000 	0.581633 	0	1	0	0	0	0
T	0.160000 	0.416667 	0.683673 	0	0	0	0	0	0
T	0.140000 	0.250000 	0.357143 	0	1	0	1	1	0
T	0.240000 	0.416667 	0.234694 	0	1	1	0	0	0
T	0.180000 	0.250000 	0.193878 	0	1	0	1	1	0
T	0.080000 	0.375000 	0.397959 	0	1	0	1	0	0
T	0.000000 	0.125000 	0.357143 	0	1	0	0	0	0
T	0.240000 	0.416667 	0.010204 	1	1	1	0	0	0
T	0.080000 	0.250000 	0.867347 	0	1	0	0	0	0
T	0.180000 	0.250000 	0.744898 	0	1	0	0	1	0
T	0.200000 	0.583333 	0.346939 	0	1	0	0	0	0
T	0.180000 	0.291667 	0.142857 	1	1	0	1	1	0
T	0.100000 	0.250000 	0.204082 	1	1	0	0	1	0
T	0.140000 	0.500000 	0.428571 	0	1	0	0	0	0
T	0.020000 	0.291667 	0.836735 	1	1	0	0	0	0
T	0.100000 	0.250000 	0.061224 	0	1	0	0	0	0
T	0.100000 	0.125000 	0.091837 	0	1	0	0	1	0
T	0.040000 	0.166667 	0.244898 	1	1	0	1	1	0
T	0.000000 	0.125000 	0.438776 	0	1	0	0	1	0
T	0.080000 	0.291667 	0.908163 	0	1	0	0	1	0
T	0.060000 	0.208333 	0.081633 	0	1	0	1	1	0
